RAD_Results_from_Floragenex,Batch,PLATE_no,Row_no,Inst.,Extraction_Tube_no,Species,Collector_no,Wild_Garden_Collected,Original_Source_Information,Vouchers,MOR_Herbarium_Accession_Number,Notes,Voucher_Image,Photo_1,Photo_2,City,County,State_Province,Country,Lat,Long,Georeference_Source,Cronn_CP,AFLP,Section,Floragenex Library Name,SEQUENCED ON,SEQUENCING DETAILS
sent,8,10,F12,MOR,ACER-MOR-124,Acer griseum,,,,,,,,,,,,,,,,,,,,C606,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, length preferred 100"
sent,8,10,G12,MOR,ACER-MOR-125,Acer griseum,,,,,,,,,,,,,,,,,,,,C606,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, length preferred 100"
xxxxxxxxxxxxxxxxxxxx,8,10,H12,XXXXXXXXXXXXXXXXXXXXXXXXXXXLEAVE BLANK FOR FLORAGENEX QUALITY CONTROLXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,,,,,,
"sent 5/8/2017, resent 6/7/2017",9,11,A1,MOR,OAK-MOR-1134,Quercus,S. Gonzalez 8385,,Mexico Zacatecas Sombrerete,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B1,MOR,OAK-MOR-1135,Quercus,S. Gonzalez 8386,,Mexico Zacatecas Sombrerete,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C1,MOR,OAK-MOR-1136,Quercus cf. aristata,S.Gonzalez 8370,,"Mexico, Nayarit, Nayar",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D1,MOR,OAK-MOR-1137,Quercus rugosa,S. Gonzalez 8388,,Mexico Durango Suchil,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E1,MOR,OAK-MOR-1138,Quercus,S. Gonzalez 8389,,Mexico Durango Suchil,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F1,DUKE,PM-106,Quercus austrina,,,"US, MS, Jones Co",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G1,DUKE,PM-226,Quercus austrina,,,"US, AL, Clarke Co.",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H1,DUKE,PM-234,Quercus gambelii,,,"US, CO, Garfield Co.",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A2,DUKE,PM-329,Quercus stellata,,,"US, OK, Comanche Co",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B2,DUKE,PM-331,Quercus marilandica,,,"US, OK, Comanche Co",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C2,DUKE,PM-332,Quercus stellata,,,"US, OK, Comanche Co",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D2,DUKE,PM-335,Quercus marilandica,,,"US, OK, Comanche Co",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E2,DUKE,PM-336,Quercus x bartram,,,"US, PA, Chester Co.",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F2,DUKE,PM-337,Quercus gambelii x macrocarpa ?,,,"US, Utah, Salt Lake Co",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G2,DUKE,PM-338,Quercus humboldtii,,,Columbia,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H2,Marco,OAK-MOR-1140,Quercus petraea ssp. iberica,Marco s.n.,,Georgia,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A3,Marco,OAK-MOR-1141,Quercus hartwissiana,Marco s.n.,,Georgia,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B3,Marco,OAK-MOR-1142,Quercus macranthera,Marco s.n.,,Georgia,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C3,Marco,OAK-MOR-1143,Quercus robur ssp. imeretina,Marco s.n.,,Georgia,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D3,Marco,OAK-MOR-1144,Quercus suber,Marco s.n.,,Algeria,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E3,Marco,OAK-MOR-1145,Quercus calliprinos,Marco s.n.,,Mrebbine Danniyeh,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F3,Marco,OAK-MOR-1146,Quercus ilex,Marco s.n.,,"Berrouaghia, Algeria",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G3,Marco,OAK-MOR-1061,Quercus cerris,Marco 4-2??,,"(Locality: Ehden, sample 4-2) , Marco Simeon",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H3,Marco,OAK-MOR-1059,Quercus cedrorum (syn. Quercus petraea ssp. Pinnatiloba ,Marco 5-5??,,"Loc. Ehden, sample 5-5) , Marco Simeone",,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A4,HRC,Q-humb10-2-17-1,Quercus humboldtii,Hernando Rodriguez Correa,,Hernando Rodriguez Correa- brought DNA extract to arb,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B4,MOR,OAK-MOR-1147,Quercus salicina,Swiss National Arb 3-11-2014 - is this sample for RAD SEQ?,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C4,MOR,OAK-MOR-1148,Quercus prinoides Willd.,Guy Sternberg,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D4,MOR,ACER-MOR-50,Acer griseum,NACPEC15-011,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E4,MOR,ACER-MOR-52,Acer griseum,NACPEC15-013,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F4,MOR,ACER-MOR-54,Acer griseum,NACPEC15-015,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G4,MOR,ACER-MOR-55,Acer griseum,NACPEC15-016,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H4,MOR,ACER-MOR-57,Acer griseum,NACPEC15-018,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A5,MOR,ACER-MOR-60,Acer griseum,NACPEC15-021,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B5,MOR,ACER-MOR-66,Acer griseum,NACPEC15-027,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C5,MOR,ACER-MOR-67,Acer griseum,NACPEC15-028,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D5,MOR,ACER-MOR-77,Acer griseum,NACPEC15-039,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E5,MOR,ACER-MOR-85,Acer griseum,NACPEC15-048,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F5,MOR,ACER-MOR-86,Acer griseum,NACPEC15-049,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G5,MOR,ACER-MOR-89,Acer griseum,NACPEC15-052,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H5,MOR,ACER-MOR-93,Acer griseum,NACPEC15-056,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A6,MOR,ACER-MOR-96,Acer griseum,NACPEC15-059,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B6,MOR,ACER-MOR-98,Acer griseum,NACPEC15-061,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C6,MOR,ACER-MOR-102,Acer griseum,NACPEC15-065,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D6,MOR,ACER-MOR-105,Acer griseum,NACPEC15-068,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E6,MOR,ACER-MOR-107,Acer griseum,NACPEC15-070,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F6,MOR,ACER-MOR-111,Acer griseum,Hunan A-01,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G6,MOR,ACER-MOR-115,Acer griseum,Hunan A-05,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H6,MOR,ACER-MOR-117,Acer griseum,Hunan A-07,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A7,MOR,ACER-MOR-119,Acer griseum,Hunan A-09,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B7,MOR,ACER-MOR-120,Acer griseum,Hunan A-10,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C7,MOR,ACER-MOR-126,Acer griseum,AGRIS16-001,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D7,MOR,ACER-MOR-127,Acer griseum,AGRIS16-002,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E7,MOR,ACER-MOR-128,Acer griseum,AGRIS16-003,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F7,MOR,ACER-MOR-129,Acer griseum,AGRIS16-004,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G7,MOR,ACER-MOR-130,Acer griseum,AGRIS16-005,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H7,MOR,ACER-MOR-131,Acer griseum,AGRIS16-006,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A8,MOR,ACER-MOR-132,Acer griseum,AGRIS16-007,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B8,MOR,ACER-MOR-133,Acer griseum,AGRIS16-008,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C8,MOR,ACER-MOR-134,Acer griseum,AGRIS16-009,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D8,MOR,ACER-MOR-135,Acer griseum,AGRIS16-010,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E8,MOR,ACER-MOR-136,Acer griseum,AGRIS16-011,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F8,MOR,ACER-MOR-137,Acer griseum,AGRIS16-012,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G8,MOR,ACER-MOR-150,Acer griseum,AGRIS16-025,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H8,MOR,ACER-MOR-151,Acer griseum,AGRIS16-026,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A9,MOR,ACER-MOR-152,Acer griseum,AGRIS16-027,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B9,MOR,ACER-MOR-153,Acer griseum,AGRIS16-028,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C9,MOR,ACER-MOR-154,Acer griseum,AGRIS16-029,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D9,MOR,ACER-MOR-155,Acer griseum,AGRIS16-030,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E9,MOR,ACER-MOR-156,Acer griseum,AGRIS16-031,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F9,MOR,ACER-MOR-169,Acer griseum,AGRIS16-044,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G9,MOR,ACER-MOR-170,Acer griseum,AGRIS16-045,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H9,MOR,ACER-MOR-171,Acer griseum,AGRIS16-046,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A10,MOR,ACER-MOR-172,Acer griseum,AGRIS16-047,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B10,MOR,ACER-MOR-173,Acer griseum,AGRIS16-048,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C10,MOR,ACER-MOR-174,Acer griseum,AGRIS16-050,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D10,MOR,ACER-MOR-175,Acer griseum,AGRIS16-051,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E10,MOR,ACER-MOR-176,Acer griseum,AGRIS16-052,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F10,MOR,ACER-MOR-177,Acer griseum,AGRIS16-053,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G10,MOR,ACER-MOR-178,Acer griseum,AGRIS16-054,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H10,MOR,ACER-MOR-179,Acer griseum,AGRIS16-055,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A11,MOR,ACER-MOR-180,Acer griseum,AGRIS16-056,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B11,MOR,ACER-MOR-181,Acer griseum,AGRIS16-057,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C11,MOR,ACER-MOR-182,Acer griseum,AGRIS16-058,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D11,MOR,ACER-MOR-183,Acer griseum,AGRIS16-059,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E11,MOR,ACER-MOR-184,Acer griseum,AGRIS16-060,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F11,MOR,ACER-MOR-185,Acer griseum,AGRIS16-061,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G11,MOR,ACER-MOR-186,Acer griseum,AGRIS16-062,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,H11,MOR,ACER-MOR-187,Acer griseum,AGRIS16-063,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,A12,MOR,ACER-MOR-188,Acer griseum,AGRIS16-064,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,B12,MOR,ACER-MOR-189,Acer griseum,AGRIS16-065,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,C12,MOR,ACER-MOR-190,Acer griseum,AGRIS16-066,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,D12,MOR,ACER-MOR-191,Acer griseum,AGRIS16-067,,,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,E12,MOR,ACER-MOR-45,Acer oblongum,NACPEC15-004,,,,,OUTGROUP FOR ACERS,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,F12,MOR,ACER-MOR-192,Acer triflorum,308-93*1,,MOR LC collections,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
"sent 5/8/2017, resent 6/7/2017",9,11,G12,MOR,ACER-MOR-194,Acer saccharum,472-74*2,,MOR LC collections,,,,,,,,,,,,,,,,,C714,HiSeq 4000,
xxxxxxxxxxxxxxxxxxxx,9,11,H12,XXXXXXXXXXXXXXXXXXXXXXXXXXXLEAVE BLANK FOR FLORAGENEX QUALITY CONTROLXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,,,,,,
sent,10,12,A1,Marco,OAK-MOR-001151,Quercus robur,TUS13-011,,Marco,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,B1,Marco,OAK-MOR-001152,Quercus coccifera,TUS13-013,,Marco,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,C1,Marco,OAK-MOR-001153,Quercus faginea, TUS13-012,,Marco,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,D1,MOR,OAK-MOR-001156,Quercus aff. laeta,2017101,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,E1,MOR,OAK-MOR-001157,Quercus jonesii,2017103,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,F1,MOR,OAK-MOR-001158,Quercus arizonica,2017104,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,G1,MOR,OAK-MOR-001159,Quercus sideroxyla,2017106,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,H1,MOR,OAK-MOR-001160,Quercus jonesii,2017107,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,A2,MOR,OAK-MOR-001161,Quercus crassifolia,2017108,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,B2,MOR,OAK-MOR-001162,Quercus praeco,2017109,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,C2,MOR,OAK-MOR-001163,Quercus praeco,2017110,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,D2,MOR,OAK-MOR-001165,Quercus laeta,2017112,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,E2,MOR,OAK-MOR-001166,Quercus laeta,2017113,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,F2,MOR,OAK-MOR-001167,Quercus laeta,2017114,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,G2,MOR,OAK-MOR-001170,Quercus resinosa,2017117,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,H2,MOR,OAK-MOR-001171,Quercus aff. eduardi,2017118,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,A3,MOR,OAK-MOR-001172,Quercus castanea,2017119,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,B3,MOR,OAK-MOR-001173,Quercus castanea,2017120,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,C3,MOR,OAK-MOR-001174,Quercus albocincta,2017121,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,D3,MOR,OAK-MOR-001175,Quercus viminea,2017123,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,E3,MOR,OAK-MOR-001176,Quercus magnoliifolia,2017124,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,F3,MOR,OAK-MOR-001177,Quercus gentryi,2017125,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,G3,MOR,OAK-MOR-001178,Quercus candicans,2017126,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,H3,MOR,OAK-MOR-001179,Quercus splendens,2017127,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,A4,MOR,OAK-MOR-001180,Quercus cf. acutifolia,2017128,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,B4,MOR,OAK-MOR-001181,Quercus subspathulata,2017129,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,C4,MOR,OAK-MOR-001182,Quercus castanea,2017130,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,D4,MOR,OAK-MOR-001183,Quercus aff. arizonica,2017131,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,E4,MOR,OAK-MOR-001184,Quercus mcvaughii,2017132,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,F4,MOR,OAK-MOR-001185,Quercus rugosa,2017133,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,G4,MOR,OAK-MOR-001186,Quercus sideroxyla,2017134,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,H4,MOR,OAK-MOR-001187,Arbutus bicolor,2017135,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,A5,MOR,OAK-MOR-001191,Quercus striatula,2017139,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,B5,MOR,OAK-MOR-001192,Quercus depressipes x Q. arizonica,2017140,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,C5,MOR,OAK-MOR-001193,Quercus viminea,2017141,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,D5,MOR,OAK-MOR-001194,Quercus arizonica,2017142,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,E5,MOR,OAK-MOR-001195,Quercus viminea,2017143,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,F5,MOR,OAK-MOR-001196,Quercus sp.,2017144,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,G5,MOR,OAK-MOR-001197,Quercus viminea,2017145,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,H5,MOR,OAK-MOR-001198,Quercus arizonica,2017146,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,A6,MOR,OAK-MOR-001199,Quercus aff. emoryi,2017148,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,B6,MOR,OAK-MOR-001200,Quercus aff. emoryi,2017149,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,C6,MOR,OAK-MOR-001202,Quercus chihuahuensis,2017151,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,D6,MOR,OAK-MOR-001203,Quercus emoryi,2017152,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,E6,MOR,OAK-MOR-001204,Quercus emoryi,2017153,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,F6,MOR,OAK-MOR-001205,Quercus oblongifolia,2017154,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,G6,MOR,OAK-MOR-001206,Quercus grisea,2017155,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,H6,MOR,OAK-MOR-001207,Quercus eduardi,2017156,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,A7,MOR,OAK-MOR-001208,Quercus pringlei,2017157,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,B7,MOR,OAK-MOR-001209,Quercus pringlei,2017158,,A.Hipp Mexico 2017 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
sent,10,12,C7,MOR,OAK-MOR-361,Quercus emoryi,AZ-CH-09,,Arizona 2012 collection,,,,,,,,,,,,,,,,,C756,HiSeq 4000,
